timestamp,zone,total
01/02/2023 00:00:00,Gare de Charleroi,222
01/02/2023 01:00:00,Gare de Charleroi,229
01/02/2023 02:00:00,Gare de Charleroi,230
01/02/2023 03:00:00,Gare de Charleroi,236
01/02/2023 04:00:00,Gare de Charleroi,329
01/02/2023 05:00:00,Gare de Charleroi,407
01/02/2023 06:00:00,Gare de Charleroi,615
01/02/2023 07:00:00,Gare de Charleroi,945
01/02/2023 08:00:00,Gare de Charleroi,855
01/02/2023 09:00:00,Gare de Charleroi,939
01/02/2023 10:00:00,Gare de Charleroi,897
01/02/2023 11:00:00,Gare de Charleroi,944
01/02/2023 12:00:00,Gare de Charleroi,1187
01/02/2023 13:00:00,Gare de Charleroi,1068
01/02/2023 14:00:00,Gare de Charleroi,962
01/02/2023 15:00:00,Gare de Charleroi,947
01/02/2023 16:00:00,Gare de Charleroi,931
01/02/2023 17:00:00,Gare de Charleroi,865
01/02/2023 18:00:00,Gare de Charleroi,668
01/02/2023 19:00:00,Gare de Charleroi,669
01/02/2023 20:00:00,Gare de Charleroi,569
01/02/2023 21:00:00,Gare de Charleroi,507
01/02/2023 22:00:00,Gare de Charleroi,352
01/02/2023 23:00:00,Gare de Charleroi,382
02/02/2023 00:00:00,Gare de Charleroi,368
02/02/2023 01:00:00,Gare de Charleroi,339
02/02/2023 02:00:00,Gare de Charleroi,275
02/02/2023 03:00:00,Gare de Charleroi,375
02/02/2023 04:00:00,Gare de Charleroi,389
02/02/2023 05:00:00,Gare de Charleroi,362
02/02/2023 06:00:00,Gare de Charleroi,640
02/02/2023 07:00:00,Gare de Charleroi,865
02/02/2023 08:00:00,Gare de Charleroi,794
02/02/2023 09:00:00,Gare de Charleroi,845
02/02/2023 10:00:00,Gare de Charleroi,994
02/02/2023 11:00:00,Gare de Charleroi,1062
02/02/2023 12:00:00,Gare de Charleroi,1093
02/02/2023 13:00:00,Gare de Charleroi,1059
02/02/2023 14:00:00,Gare de Charleroi,1038
02/02/2023 15:00:00,Gare de Charleroi,956
02/02/2023 16:00:00,Gare de Charleroi,990
02/02/2023 17:00:00,Gare de Charleroi,762
02/02/2023 18:00:00,Gare de Charleroi,652
02/02/2023 19:00:00,Gare de Charleroi,565
02/02/2023 20:00:00,Gare de Charleroi,446
02/02/2023 21:00:00,Gare de Charleroi,485
02/02/2023 22:00:00,Gare de Charleroi,462
02/02/2023 23:00:00,Gare de Charleroi,377
03/02/2023 00:00:00,Gare de Charleroi,375
03/02/2023 01:00:00,Gare de Charleroi,281
03/02/2023 02:00:00,Gare de Charleroi,257
03/02/2023 03:00:00,Gare de Charleroi,277
03/02/2023 04:00:00,Gare de Charleroi,260
03/02/2023 05:00:00,Gare de Charleroi,313
03/02/2023 06:00:00,Gare de Charleroi,302
03/02/2023 07:00:00,Gare de Charleroi,706
03/02/2023 08:00:00,Gare de Charleroi,975
03/02/2023 09:00:00,Gare de Charleroi,954
03/02/2023 10:00:00,Gare de Charleroi,1074
03/02/2023 11:00:00,Gare de Charleroi,1089
03/02/2023 12:00:00,Gare de Charleroi,1133
03/02/2023 13:00:00,Gare de Charleroi,1164
03/02/2023 14:00:00,Gare de Charleroi,1091
03/02/2023 15:00:00,Gare de Charleroi,1312
03/02/2023 16:00:00,Gare de Charleroi,1185
03/02/2023 17:00:00,Gare de Charleroi,886
03/02/2023 18:00:00,Gare de Charleroi,1014
03/02/2023 19:00:00,Gare de Charleroi,670
03/02/2023 20:00:00,Gare de Charleroi,581
03/02/2023 21:00:00,Gare de Charleroi,525
03/02/2023 22:00:00,Gare de Charleroi,434
03/02/2023 23:00:00,Gare de Charleroi,426
04/02/2023 00:00:00,Gare de Charleroi,369
04/02/2023 01:00:00,Gare de Charleroi,276
04/02/2023 02:00:00,Gare de Charleroi,272
04/02/2023 03:00:00,Gare de Charleroi,257
04/02/2023 04:00:00,Gare de Charleroi,240
04/02/2023 05:00:00,Gare de Charleroi,261
04/02/2023 06:00:00,Gare de Charleroi,243
04/02/2023 07:00:00,Gare de Charleroi,235
04/02/2023 08:00:00,Gare de Charleroi,261
04/02/2023 09:00:00,Gare de Charleroi,525
04/02/2023 10:00:00,Gare de Charleroi,661
04/02/2023 11:00:00,Gare de Charleroi,756
04/02/2023 12:00:00,Gare de Charleroi,885
04/02/2023 13:00:00,Gare de Charleroi,807
04/02/2023 14:00:00,Gare de Charleroi,959
04/02/2023 15:00:00,Gare de Charleroi,1059
04/02/2023 16:00:00,Gare de Charleroi,985
04/02/2023 17:00:00,Gare de Charleroi,952
04/02/2023 18:00:00,Gare de Charleroi,837
04/02/2023 19:00:00,Gare de Charleroi,673
04/02/2023 20:00:00,Gare de Charleroi,548
04/02/2023 21:00:00,Gare de Charleroi,470
04/02/2023 22:00:00,Gare de Charleroi,479
04/02/2023 23:00:00,Gare de Charleroi,417
05/02/2023 00:00:00,Gare de Charleroi,438
05/02/2023 01:00:00,Gare de Charleroi,316
05/02/2023 02:00:00,Gare de Charleroi,409
05/02/2023 03:00:00,Gare de Charleroi,342
05/02/2023 04:00:00,Gare de Charleroi,291
05/02/2023 05:00:00,Gare de Charleroi,286
05/02/2023 06:00:00,Gare de Charleroi,364
05/02/2023 07:00:00,Gare de Charleroi,410
05/02/2023 08:00:00,Gare de Charleroi,491
05/02/2023 09:00:00,Gare de Charleroi,492
05/02/2023 10:00:00,Gare de Charleroi,540
05/02/2023 11:00:00,Gare de Charleroi,501
05/02/2023 12:00:00,Gare de Charleroi,485
05/02/2023 13:00:00,Gare de Charleroi,476
05/02/2023 14:00:00,Gare de Charleroi,499
05/02/2023 15:00:00,Gare de Charleroi,562
05/02/2023 16:00:00,Gare de Charleroi,519
05/02/2023 17:00:00,Gare de Charleroi,550
05/02/2023 18:00:00,Gare de Charleroi,549
05/02/2023 19:00:00,Gare de Charleroi,480
05/02/2023 20:00:00,Gare de Charleroi,419
05/02/2023 21:00:00,Gare de Charleroi,274
05/02/2023 22:00:00,Gare de Charleroi,337
05/02/2023 23:00:00,Gare de Charleroi,257
06/02/2023 00:00:00,Gare de Charleroi,240
06/02/2023 01:00:00,Gare de Charleroi,240
06/02/2023 02:00:00,Gare de Charleroi,245
06/02/2023 03:00:00,Gare de Charleroi,246
06/02/2023 04:00:00,Gare de Charleroi,282
06/02/2023 05:00:00,Gare de Charleroi,326
06/02/2023 06:00:00,Gare de Charleroi,675
06/02/2023 07:00:00,Gare de Charleroi,880
06/02/2023 08:00:00,Gare de Charleroi,855
06/02/2023 09:00:00,Gare de Charleroi,1020
06/02/2023 10:00:00,Gare de Charleroi,1015
06/02/2023 11:00:00,Gare de Charleroi,1125
06/02/2023 12:00:00,Gare de Charleroi,1057
06/02/2023 13:00:00,Gare de Charleroi,1146
06/02/2023 14:00:00,Gare de Charleroi,1126
06/02/2023 15:00:00,Gare de Charleroi,1034
06/02/2023 16:00:00,Gare de Charleroi,947
06/02/2023 17:00:00,Gare de Charleroi,804
06/02/2023 18:00:00,Gare de Charleroi,629
06/02/2023 19:00:00,Gare de Charleroi,493
06/02/2023 20:00:00,Gare de Charleroi,437
06/02/2023 21:00:00,Gare de Charleroi,395
06/02/2023 22:00:00,Gare de Charleroi,412
06/02/2023 23:00:00,Gare de Charleroi,315
07/02/2023 00:00:00,Gare de Charleroi,274
07/02/2023 01:00:00,Gare de Charleroi,283
07/02/2023 02:00:00,Gare de Charleroi,273
07/02/2023 03:00:00,Gare de Charleroi,271
07/02/2023 04:00:00,Gare de Charleroi,252
07/02/2023 05:00:00,Gare de Charleroi,325
07/02/2023 06:00:00,Gare de Charleroi,676
07/02/2023 07:00:00,Gare de Charleroi,898
07/02/2023 08:00:00,Gare de Charleroi,1072
07/02/2023 09:00:00,Gare de Charleroi,1050
07/02/2023 10:00:00,Gare de Charleroi,925
07/02/2023 11:00:00,Gare de Charleroi,1029
07/02/2023 12:00:00,Gare de Charleroi,1145
07/02/2023 13:00:00,Gare de Charleroi,1285
07/02/2023 14:00:00,Gare de Charleroi,1187
07/02/2023 15:00:00,Gare de Charleroi,1350
07/02/2023 16:00:00,Gare de Charleroi,1087
07/02/2023 17:00:00,Gare de Charleroi,880
07/02/2023 18:00:00,Gare de Charleroi,626
07/02/2023 19:00:00,Gare de Charleroi,556
07/02/2023 20:00:00,Gare de Charleroi,420
07/02/2023 21:00:00,Gare de Charleroi,291
07/02/2023 22:00:00,Gare de Charleroi,364
07/02/2023 23:00:00,Gare de Charleroi,328
08/02/2023 00:00:00,Gare de Charleroi,298
08/02/2023 01:00:00,Gare de Charleroi,256
08/02/2023 02:00:00,Gare de Charleroi,223
08/02/2023 03:00:00,Gare de Charleroi,249
08/02/2023 04:00:00,Gare de Charleroi,234
08/02/2023 05:00:00,Gare de Charleroi,272
08/02/2023 06:00:00,Gare de Charleroi,552
08/02/2023 07:00:00,Gare de Charleroi,825
08/02/2023 08:00:00,Gare de Charleroi,816
08/02/2023 09:00:00,Gare de Charleroi,852
08/02/2023 10:00:00,Gare de Charleroi,996
08/02/2023 11:00:00,Gare de Charleroi,951
08/02/2023 12:00:00,Gare de Charleroi,1219
08/02/2023 13:00:00,Gare de Charleroi,1303
08/02/2023 14:00:00,Gare de Charleroi,1111
08/02/2023 15:00:00,Gare de Charleroi,1057
08/02/2023 16:00:00,Gare de Charleroi,971
08/02/2023 17:00:00,Gare de Charleroi,963
08/02/2023 18:00:00,Gare de Charleroi,749
08/02/2023 19:00:00,Gare de Charleroi,578
08/02/2023 20:00:00,Gare de Charleroi,477
08/02/2023 21:00:00,Gare de Charleroi,420
08/02/2023 22:00:00,Gare de Charleroi,392
08/02/2023 23:00:00,Gare de Charleroi,400
09/02/2023 00:00:00,Gare de Charleroi,360
09/02/2023 01:00:00,Gare de Charleroi,352
09/02/2023 02:00:00,Gare de Charleroi,361
09/02/2023 03:00:00,Gare de Charleroi,406
09/02/2023 04:00:00,Gare de Charleroi,286
09/02/2023 05:00:00,Gare de Charleroi,437
09/02/2023 06:00:00,Gare de Charleroi,579
09/02/2023 07:00:00,Gare de Charleroi,913
09/02/2023 08:00:00,Gare de Charleroi,941
09/02/2023 09:00:00,Gare de Charleroi,1009
09/02/2023 10:00:00,Gare de Charleroi,1093
09/02/2023 11:00:00,Gare de Charleroi,1048
09/02/2023 12:00:00,Gare de Charleroi,1081
09/02/2023 13:00:00,Gare de Charleroi,1224
09/02/2023 14:00:00,Gare de Charleroi,1087
09/02/2023 15:00:00,Gare de Charleroi,1258
09/02/2023 16:00:00,Gare de Charleroi,999
09/02/2023 17:00:00,Gare de Charleroi,890
09/02/2023 18:00:00,Gare de Charleroi,710
09/02/2023 19:00:00,Gare de Charleroi,608
09/02/2023 20:00:00,Gare de Charleroi,524
09/02/2023 21:00:00,Gare de Charleroi,437
09/02/2023 22:00:00,Gare de Charleroi,340
09/02/2023 23:00:00,Gare de Charleroi,441
10/02/2023 00:00:00,Gare de Charleroi,407
10/02/2023 01:00:00,Gare de Charleroi,297
10/02/2023 02:00:00,Gare de Charleroi,251
10/02/2023 03:00:00,Gare de Charleroi,239
10/02/2023 04:00:00,Gare de Charleroi,257
10/02/2023 05:00:00,Gare de Charleroi,300
10/02/2023 06:00:00,Gare de Charleroi,551
10/02/2023 07:00:00,Gare de Charleroi,943
10/02/2023 08:00:00,Gare de Charleroi,898
10/02/2023 09:00:00,Gare de Charleroi,930
10/02/2023 10:00:00,Gare de Charleroi,972
10/02/2023 11:00:00,Gare de Charleroi,1091
10/02/2023 12:00:00,Gare de Charleroi,1018
10/02/2023 13:00:00,Gare de Charleroi,1089
10/02/2023 14:00:00,Gare de Charleroi,1251
10/02/2023 15:00:00,Gare de Charleroi,1202
10/02/2023 16:00:00,Gare de Charleroi,1073
10/02/2023 17:00:00,Gare de Charleroi,986
10/02/2023 18:00:00,Gare de Charleroi,813
10/02/2023 19:00:00,Gare de Charleroi,715
10/02/2023 20:00:00,Gare de Charleroi,634
10/02/2023 21:00:00,Gare de Charleroi,519
10/02/2023 22:00:00,Gare de Charleroi,525
10/02/2023 23:00:00,Gare de Charleroi,473
11/02/2023 00:00:00,Gare de Charleroi,403
11/02/2023 01:00:00,Gare de Charleroi,410
11/02/2023 02:00:00,Gare de Charleroi,364
11/02/2023 03:00:00,Gare de Charleroi,260
11/02/2023 04:00:00,Gare de Charleroi,371
11/02/2023 05:00:00,Gare de Charleroi,333
11/02/2023 06:00:00,Gare de Charleroi,277
11/02/2023 07:00:00,Gare de Charleroi,256
11/02/2023 08:00:00,Gare de Charleroi,528
11/02/2023 09:00:00,Gare de Charleroi,587
11/02/2023 10:00:00,Gare de Charleroi,666
11/02/2023 11:00:00,Gare de Charleroi,841
11/02/2023 12:00:00,Gare de Charleroi,871
11/02/2023 13:00:00,Gare de Charleroi,872
11/02/2023 14:00:00,Gare de Charleroi,1076
11/02/2023 15:00:00,Gare de Charleroi,1041
11/02/2023 16:00:00,Gare de Charleroi,986
11/02/2023 17:00:00,Gare de Charleroi,986
11/02/2023 18:00:00,Gare de Charleroi,890
11/02/2023 19:00:00,Gare de Charleroi,681
11/02/2023 20:00:00,Gare de Charleroi,565
11/02/2023 21:00:00,Gare de Charleroi,564
11/02/2023 22:00:00,Gare de Charleroi,456
11/02/2023 23:00:00,Gare de Charleroi,465
12/02/2023 00:00:00,Gare de Charleroi,371
12/02/2023 01:00:00,Gare de Charleroi,289
12/02/2023 02:00:00,Gare de Charleroi,248
12/02/2023 03:00:00,Gare de Charleroi,283
12/02/2023 04:00:00,Gare de Charleroi,299
12/02/2023 05:00:00,Gare de Charleroi,274
12/02/2023 06:00:00,Gare de Charleroi,493
12/02/2023 07:00:00,Gare de Charleroi,395
12/02/2023 08:00:00,Gare de Charleroi,422
12/02/2023 09:00:00,Gare de Charleroi,399
12/02/2023 10:00:00,Gare de Charleroi,430
12/02/2023 11:00:00,Gare de Charleroi,501
12/02/2023 12:00:00,Gare de Charleroi,499
12/02/2023 13:00:00,Gare de Charleroi,490
12/02/2023 14:00:00,Gare de Charleroi,561
12/02/2023 15:00:00,Gare de Charleroi,518
12/02/2023 16:00:00,Gare de Charleroi,539
12/02/2023 17:00:00,Gare de Charleroi,529
12/02/2023 18:00:00,Gare de Charleroi,533
12/02/2023 19:00:00,Gare de Charleroi,512
12/02/2023 20:00:00,Gare de Charleroi,421
12/02/2023 21:00:00,Gare de Charleroi,429
12/02/2023 22:00:00,Gare de Charleroi,370
12/02/2023 23:00:00,Gare de Charleroi,400
13/02/2023 00:00:00,Gare de Charleroi,299
13/02/2023 01:00:00,Gare de Charleroi,344
13/02/2023 02:00:00,Gare de Charleroi,273
13/02/2023 03:00:00,Gare de Charleroi,255
13/02/2023 04:00:00,Gare de Charleroi,241
13/02/2023 05:00:00,Gare de Charleroi,389
13/02/2023 06:00:00,Gare de Charleroi,547
13/02/2023 07:00:00,Gare de Charleroi,934
13/02/2023 08:00:00,Gare de Charleroi,943
13/02/2023 09:00:00,Gare de Charleroi,945
13/02/2023 10:00:00,Gare de Charleroi,1004
13/02/2023 11:00:00,Gare de Charleroi,1089
13/02/2023 12:00:00,Gare de Charleroi,1066
13/02/2023 13:00:00,Gare de Charleroi,1144
13/02/2023 14:00:00,Gare de Charleroi,1156
13/02/2023 15:00:00,Gare de Charleroi,1125
13/02/2023 16:00:00,Gare de Charleroi,954
13/02/2023 17:00:00,Gare de Charleroi,822
13/02/2023 18:00:00,Gare de Charleroi,755
13/02/2023 19:00:00,Gare de Charleroi,572
13/02/2023 20:00:00,Gare de Charleroi,482
13/02/2023 21:00:00,Gare de Charleroi,478
13/02/2023 22:00:00,Gare de Charleroi,384
13/02/2023 23:00:00,Gare de Charleroi,357
14/02/2023 00:00:00,Gare de Charleroi,286
14/02/2023 01:00:00,Gare de Charleroi,266
14/02/2023 02:00:00,Gare de Charleroi,277
14/02/2023 03:00:00,Gare de Charleroi,262
14/02/2023 04:00:00,Gare de Charleroi,252
14/02/2023 05:00:00,Gare de Charleroi,254
14/02/2023 06:00:00,Gare de Charleroi,487
14/02/2023 07:00:00,Gare de Charleroi,718
14/02/2023 08:00:00,Gare de Charleroi,899
14/02/2023 09:00:00,Gare de Charleroi,935
14/02/2023 10:00:00,Gare de Charleroi,981
14/02/2023 11:00:00,Gare de Charleroi,1125
